Registro,Prediccion
436,0.0014723816
437,0.0013470119
438,0.0013080199
439,0.001232376
440,0.0011124822
441,0.0009056765
442,0.0008107734
443,0.00078767515
444,0.00068626186
445,0.0007266262
446,0.00070616754
447,0.00087341794
448,0.0012318762
449,0.0016160808
450,0.0019109689
451,0.0020473641
452,0.0023937933
453,0.0023574964
454,0.0020897968
455,0.0022218495
456,0.0024974938
457,0.0020269998
458,0.0015040159
459,0.0017646354
460,0.0020939584
461,0.0024360267
462,0.0025896821
463,0.0022472786
464,0.002229126
465,0.0022190174
466,0.002189832
467,0.0022635923
468,0.0026356792
469,0.002261222
470,0.0016842162
471,0.001404596
472,0.0011116563
473,0.0009860342
474,0.00091636
475,0.0009656327
476,0.00091136375
477,0.0008621476
478,0.0008934635
479,0.0009614776
480,0.0011229215
481,0.0010857565
482,0.0012189174
483,0.0015182947
484,0.0016928717
485,0.001909536
486,0.0017025793
487,0.0016034642
488,0.0015461914
489,0.0014298105
490,0.0014842856
491,0.0016623491
492,0.0014708051
493,0.001333996
494,0.0010307226
495,0.00093471457
496,0.00090297946
497,0.0008077975
498,0.00081193546
499,0.00086046685
500,0.0007601169
501,0.0007517628
502,0.00082890166
503,0.0014934237
504,0.0028891286
505,0.0035026441
506,0.0036629639
507,0.004205607
508,0.0045080353
509,0.004848643
510,0.003767754
511,0.003200309
512,0.0026556153
513,0.0026836027
514,0.002688124
515,0.003397563
516,0.0055344687
517,0.008591163
518,0.0077426
519,0.006753505
520,0.009929908
521,0.017387792
522,0.036330655
523,0.05836999
524,0.09025834
525,0.17010987
526,0.25307354
527,0.4121104
528,0.4091049
